TS,IC,KP,MAE
1.0,0.0,0.0,10213.451566792583
1.0,0.0,1.0,11369.801807177197
1.0,0.0,2.0,11422.542569539833
1.0,0.0,3.0,10824.124424793956
1.0,1.0,0.0,10184.90955314217
1.0,1.0,1.0,11343.28437714629
1.0,1.0,2.0,11721.369883241758
1.0,1.0,3.0,10818.149006267171
1.0,2.0,0.0,10169.558018543956
1.0,2.0,1.0,11391.200034340658
1.0,2.0,2.0,11744.468936727335
1.0,2.0,3.0,10835.250375600963
1.0,3.0,0.0,10178.72657752404
1.0,3.0,1.0,11338.345391912775
1.0,3.0,2.0,11444.073388135304
1.0,3.0,3.0,10815.88132082761
10.0,0.0,0.0,11797.784754893544
10.0,0.0,1.0,8861.238753434067
10.0,0.0,2.0,7348.772555374313
10.0,0.0,3.0,6839.088995964972
10.0,1.0,0.0,11837.127457503435
10.0,1.0,1.0,9410.37563744849
10.0,1.0,2.0,7639.131215659341
10.0,1.0,3.0,8305.567784168958
10.0,2.0,0.0,11599.674864783654
10.0,2.0,1.0,9534.781522578984
10.0,2.0,2.0,7901.706333705358
10.0,2.0,3.0,8674.309902987636
10.0,3.0,0.0,11450.612079326924
10.0,3.0,1.0,9495.865300910027
10.0,3.0,2.0,8314.224384014422
10.0,3.0,3.0,7526.350931490384
100.0,0.0,0.0,10933.761422561813
100.0,0.0,1.0,3874.6768930288463
100.0,0.0,2.0,5618.3671102335165
100.0,0.0,3.0,5629.314448832418
100.0,1.0,0.0,8804.228683035715
100.0,1.0,1.0,4259.322287087913
100.0,1.0,2.0,4980.239721411401
100.0,1.0,3.0,4476.5998046875
100.0,2.0,0.0,6910.685553313873
100.0,2.0,1.0,3784.3498519059067
100.0,2.0,2.0,4665.037195226649
100.0,2.0,3.0,3994.128841861264
100.0,3.0,0.0,6800.681803743132
100.0,3.0,1.0,4089.951691277473
100.0,3.0,2.0,4509.220301768544
100.0,3.0,3.0,3916.7740899725277
1000.0,0.0,0.0,8874.328077781593
1000.0,0.0,1.0,6003.558434924451
1000.0,0.0,2.0,5607.972345037775
1000.0,0.0,3.0,4882.016734632555
1000.0,1.0,0.0,7060.836965573489
1000.0,1.0,1.0,2917.1534362122256
1000.0,1.0,2.0,3916.2012770432693
1000.0,1.0,3.0,4614.714277129121
1000.0,2.0,0.0,7393.498113410026
1000.0,2.0,1.0,2204.820977850275
1000.0,2.0,2.0,1997.9402300824179
1000.0,2.0,3.0,2244.9441234546703
1000.0,3.0,0.0,7320.797849416209
1000.0,3.0,1.0,1872.1856992616758
1000.0,3.0,2.0,1750.6687714629122
1000.0,3.0,3.0,1532.8868861607139
