Infected,time
9660.0,0
9665.182009859036,1
9671.045583940333,2
9677.680322854045,3
9685.187715494578,4
9693.682536173015,5
9703.29446319534,6
9714.170721669356,7
9726.477587752852,8
9740.402778393955,9
9756.15912667007,10
9773.98857918054,11
9794.163176793701,12
9816.990517363707,13
9842.818591244546,14
9872.044930583426,15
9905.11759896339,16
9942.539407548535,17
9984.880126683085,18
10032.785068316874,19
10086.993613599478,20
10148.339976784164,21
10217.7543826332,22
10296.295851820605,23
10385.151832149451,24
10485.686298128068,25
10599.457039681974,26
10728.215662153872,27
10873.90802247704,28
11038.753490859499,29
11225.240364615598,30
11436.21468309509,31
11674.951177625064,32
11945.153271509933,33
12250.953080031459,34
12596.931422205356,35
12988.384911443263,36
13431.180531913282,37
13932.100274089153,38
14498.944426627791,39
15140.531576369243,40
15866.698608336717,41
16688.30107217548,42
17617.828944882433,43
18669.282985946775,44
19858.558300287325,45
21204.115496085193,46
22726.98068478372,47
24450.745481088532,48
26401.56700296756,49
28608.321685842577,50
31104.875773648404,51
33928.378102602685,52
37121.786036458616,53
40734.790679855956,54
44823.816878321064,55
49452.023218266746,56
54689.30202699257,57
60612.68913167103,58
67312.85640271821,59
74889.07767465076,60
83455.98173724937,61
93146.2445692303,62
104110.58933824553,63
116517.78640088333,64
130554.65330266682,65
146426.11121615482,66
164370.34907313847,67
184653.34116011282,68
207576.1327504014,69
233487.8846190351,70
262785.87304275046,71
295915.489799993,72
333370.24217091344,73
375691.7529373726,74
423482.0607273477,75
477442.8693762604,76
538348.5218897309,77
607089.0248383956,78
684673.8237934532,79
772231.8033266626,80
871011.2870103528,81
982380.0374174053,82
1.107825256495707e6,83
1.2489899953261171e6,84
1.4077800948480207e6,85
1.5863280966819497e6,86
1.7869815358674244e6,87
2.0123029408629544e6,88
2.2650698335460452e6,89
2.5482747292131605e6,90
2.8651251365798023e6,91
3.2190374091209136e6,92
3.6134070521320384e6,93
4.0524583507394274e6,94
4.540702448323243e6,95
5.082550370780473e6,96
5.682313026524913e6,97
6.344201206487188e6,98
7.072325584114779e6,99
7.870696715371963e6,100
8.743225038739862e6,101
9.693253807725323e6,102
1.0723492099011486e7,103
1.1836282929194454e7,104
1.3032616167529894e7,105
1.4312116099526538e7,106
1.567304142694618e7,107
1.711228526780361e7,108
1.8625375156366874e7,109
2.020647304315671e7,110
2.1848375294947237e7,111
2.3543481283476043e7,112
2.528208867792084e7,113
2.7051671532067154e7,114
2.8840147097981367e7,115
3.0635917734823577e7,116
3.2427870908847675e7,117
3.420537919340114e7,118
3.595830026892531e7,119
3.767697692295512e7,120
3.935223705011939e7,121
4.097548137030366e7,122
